ID,TYPE,TARGET
21933,AVK Access Point,48
22111,AVK Access Point,48
22004,AVK Access Point,48
21966,AVK Access Point,48
21937,AVK Access Point,48
22029,AVK Access Point,48
22431,AVK Printer,71
18347,AVK IP Phone,146
18349,AVK IP Phone,146
18327,AVK Printer,71
20144,AVK Access Point,48
18612,AVK Printer,71
19335,AVK Access Point,48
21360,AVK Printer,71
21361,AVK Printer,71
18276,AVK Printer,71
18278,AVK Printer,71
21333,AVK Printer,71
21332,AVK Printer,71
19362,AVK Access Point,48
19363,AVK Access Point,48
19851,AVK Hypervisor,151
18503,AVK Network Storage,150
18496,AVK Printer,71
19852,AVK Switch,149
19861,AVK Switch,149
18495,AVK UPS,29
19859,AVK IP Phone,146
23302,AVK Switch,149
23301,AVK Switch,149
