ID,TYPE,TARGET
19920,AVK IP Phone,146
20100,AVK Printer,71
21420,AVK Firewall,111
23260,AVK Firewall,111
19849,AVK Firewall,111
21377,AVK Switch,149
21128,AVK Switch,149
21109,AVK Switch,149
21127,AVK Switch,149
19618,AVK Layer 3 Switch,149
18614,AVK Printer,71
22350,AVK IP Phone,146
21454,AVK Switch,149
22882,AVK IP Phone,146
22670,AVK IP Phone,146
22993,AVK IP Phone,146
18812,AVK Hypervisor,151
23128,AVK Hypervisor,151
19269,AVK Hypervisor,151
23238,AVK Hypervisor,151
19743,AVK Access Point,48
19579,AVK Access Point,48
19581,AVK Access Point,48
22557,AVK Switch,149
19591,AVK Switch,149
19562,AVK Switch,149
19590,AVK Switch,149
19589,AVK Switch,149
19588,AVK Switch,149
19592,AVK Switch,149
19550,AVK Access Point,48
22556,AVK Switch,149
19599,AVK Access Point,48
19732,AVK Access Point,48
19598,AVK Switch,149
19571,AVK Access Point,48
19580,AVK Access Point,48
19444,AVK Switch,149
20123,AVK Access Point,48
19730,AVK Access Point,48
20142,AVK Access Point,48
19578,AVK Access Point,48
19577,AVK Access Point,48
19551,AVK Access Point,48
19569,AVK Access Point,48
19752,AVK Access Point,48
19573,AVK Access Point,48
19561,AVK Access Point,48
20140,AVK Access Point,48
20129,AVK Access Point,48
20268,AVK Access Point,48
19585,AVK Access Point,48
19660,AVK Access Point,48
19568,AVK Access Point,48
19582,AVK Access Point,48
20141,AVK Access Point,48
19549,AVK Access Point,48
20139,AVK Access Point,48
19575,AVK Access Point,48
20124,AVK Access Point,48
19443,AVK Access Point,48
19456,AVK Access Point,48
19587,AVK Access Point,48
19565,AVK Access Point,48
22672,AVK Access Point,48
22558,AVK Access Point,48
22671,AVK Access Point,48
19754,AVK Access Point,48
19584,AVK Access Point,48
19557,AVK Access Point,48
19567,AVK Access Point,48
19572,AVK Access Point,48
19586,AVK Access Point,48
19723,AVK Access Point,48
19563,AVK Access Point,48
19583,AVK Access Point,48
19558,AVK Access Point,48
19566,AVK Access Point,48
19556,AVK Access Point,48
19663,AVK Access Point,48
19553,AVK Access Point,48
19554,AVK Access Point,48
19560,AVK Access Point,48
19574,AVK Access Point,48
22570,AVK Access Point,48
19576,AVK Access Point,48
19737,AVK Access Point,48
19552,AVK Access Point,48
19662,AVK Access Point,48
19728,AVK Access Point,48
19555,AVK Access Point,48
22409,AVK Access Point,48
20202,AVK Access Point,48
22567,AVK Access Point,48
19620,AVK Access Point,48
19753,AVK Access Point,48
19621,AVK Access Point,48
19564,AVK Access Point,48
19559,AVK Access Point,48
19661,AVK Access Point,48
19756,AVK Access Point,48
19570,AVK Access Point,48
19596,AVK Access Point,48
18813,AVK Network Storage,150
22881,AVK IP Phone,146
20177,AVK Firewall,111
22669,AVK IP Phone,146
19870,AVK IP Phone,146
17771,AVK Printer,71
18755,AVK Hypervisor,151
18756,AVK Hypervisor,151
18781,AVK Printer,71
23113,AVK Printer,71
18774,AVK Printer,71
19197,AVK Printer,71
19199,AVK Printer,71
19202,AVK Printer,71
19201,AVK Printer,71
19200,AVK Printer,71
19198,AVK Printer,71
19196,AVK Printer,71
17778,AVK Printer,71
17807,AVK Printer,71
20206,AVK Printer,71
20270,AVK Printer,71
19762,AVK Printer,71
22647,AVK IP Phone,146
19380,AVK Printer,71
21337,AVK Printer,71
21340,AVK Printer,71
21346,AVK Printer,71
22619,AVK Switch,149
19891,AVK IP Phone,146
21437,AVK Access Point,48
21351,AVK Printer,71
21516,AVK Printer,71
18808,AVK Printer,71
17528,AVK Time Clock,146
21353,AVK Time Clock,146
17571,AVK Time Clock,146
21344,AVK Time Clock,146
21354,AVK Time Clock,146
18899,AVK Access Point,48
18606,AVK Access Point,48
22886,AVK IP Phone,146
19296,AVK Hypervisor,151
18331,AVK UPS,29
21125,AVK IP Phone,146
19210,AVK IP Phone,146
20047,AVK IP Phone,146
20363,AVK Printer,71
19302,AVK IP Phone,146
19212,AVK IP Phone,146
22255,AVK Switch,149
20089,AVK IP Phone,146
20266,AVK IP Phone,146
20540,AVK IP Phone,146
20559,AVK IP Phone,146
18196,AVK Printer,71
18590,AVK Printer,71
18879,AVK Access Point,48
17913,AVK Switch,149
23317,AVK Access Point,48
21987,AVK Access Point,48
23294,AVK Access Point,48
23296,AVK Access Point,48
23318,AVK Switch,149
23295,AVK Switch,149
19227,AVK UPS,29
21321,AVK Firewall,111
18881,AVK Access Point,48
21279,AVK Printer,71
21271,AVK Printer,71
21520,AVK IP Phone,146
23297,AVK Switch,149
20189,AVK IP Phone,146
20251,AVK Access Point,48
17809,AVK Printer,71
17908,AVK Switch,149
17909,AVK Switch,149
20058,AVK Switch,149
20063,AVK Switch,149
17941,AVK Switch,149
19469,AVK Switch,149
18450,AVK Switch,149
19385,AVK Switch,149
22150,AVK Switch,149
18446,AVK Switch,149
19341,AVK Switch,149
17937,AVK Switch,149
19339,AVK Switch,149
19338,AVK Switch,149
19426,AVK Switch,149
19337,AVK Switch,149
17939,AVK Switch,149
17934,AVK Switch,149
17936,AVK Switch,149
19654,AVK Switch,149
19665,AVK Switch,149
23021,AVK Switch,149
23006,AVK Switch,149
23007,AVK Switch,149
23014,AVK Switch,149
23008,AVK Switch,149
23002,AVK Switch,149
23005,AVK Switch,149
23160,AVK Switch,149
17926,AVK UPS,29
21203,AVK UPS,29
17962,AVK UPS,29
17916,AVK UPS,29
21312,AVK Hypervisor,151
22167,AVK Network Storage,150
18640,AVK Switch,149
18643,AVK Network Storage,150
17895,AVK Network Storage,150
17902,AVK Network Storage,150
17945,AVK Network Storage,150
18013,AVK Network Storage,150
23046,AVK Switch,149
23045,AVK Switch,149
23103,AVK Switch,149
23048,AVK Switch,149
17917,AVK Switch,149
17929,AVK Switch,149
17930,AVK Switch,149
17932,AVK Switch,149
17935,AVK Switch,149
17938,AVK Switch,149
22989,AVK UPS,29
22990,AVK UPS,29
17927,AVK Switch,149
17928,AVK Switch,149
17925,AVK Switch,149
17924,AVK Switch,149
22163,AVK Switch,149
17910,AVK Switch,149
18608,AVK Hypervisor,151
18937,AVK Printer,71
18948,AVK Printer,71
18579,AVK Printer,71
18944,AVK Printer,71
18576,AVK Printer,71
18949,AVK Printer,71
18934,AVK Printer,71
18946,AVK Printer,71
18620,AVK Printer,71
18870,AVK Access Point,48
21290,AVK Firewall,111
20612,AVK IP Phone,146
18603,AVK Firewall,111
19858,AVK IP Phone,146
21285,AVK Network Storage,150
17892,AVK PBX,156
19301,AVK IP Phone,146
18762,AVK Access Point,48
18765,AVK Access Point,48
18764,AVK Access Point,48
18767,AVK Access Point,48
18766,AVK Access Point,48
18861,AVK Access Point,48
18763,AVK Access Point,48
18770,AVK Access Point,48
18768,AVK Access Point,48
18769,AVK Access Point,48
21160,AVK Printer,71
18599,AVK Printer,71
18166,AVK Printer,71
18081,AVK Printer,71
18600,AVK Printer,71
21040,AVK Printer,71
18146,AVK Printer,71
18147,AVK Printer,71
19376,AVK Printer,71
18649,AVK Printer,71
18613,AVK Printer,71
19840,AVK Printer,71
18617,AVK Printer,71
18498,AVK Printer,71
18177,AVK Printer,71
18806,AVK Printer,71
18592,AVK Printer,71
18751,AVK Printer,71
21055,AVK Printer,71
18595,AVK Printer,71
18939,AVK Printer,71
17919,AVK Printer,71
19205,AVK Printer,71
21038,AVK Printer,71
18330,AVK Printer,71
18320,AVK Printer,71
18578,AVK Printer,71
22385,AVK Printer,71
21508,AVK Printer,71
19317,AVK Printer,71
18748,AVK Printer,71
20009,AVK Printer,71
21050,AVK Printer,71
17677,AVK Printer,71
18198,AVK Printer,71
19470,AVK Printer,71
18929,AVK Printer,71
18588,AVK Printer,71
21286,AVK Printer,71
18601,AVK Printer,71
17915,AVK Printer,71
19195,AVK Printer,71
22339,AVK Printer,71
21323,AVK Printer,71
18135,AVK Printer,71
18154,AVK Printer,71
18776,AVK Printer,71
22168,AVK Printer,71
18796,AVK Printer,71
21506,AVK Printer,71
18149,AVK Printer,71
19792,AVK Printer,71
19841,AVK Printer,71
18304,AVK Printer,71
18144,AVK Printer,71
20974,AVK Printer,71
17914,AVK Printer,71
19191,AVK Printer,71
18517,AVK Printer,71
18521,AVK Printer,71
19024,AVK Printer,71
18277,AVK Printer,71
18518,AVK Printer,71
21170,AVK Printer,71
18797,AVK Printer,71
18141,AVK Printer,71
18598,AVK Printer,71
18918,AVK Printer,71
19905,AVK Printer,71
17896,AVK Printer,71
19348,AVK Printer,71
17901,AVK Printer,71
18581,AVK Printer,71
18150,AVK Printer,71
18164,AVK Printer,71
17897,AVK Printer,71
18126,AVK Printer,71
18128,AVK Printer,71
18132,AVK Printer,71
18148,AVK Printer,71
18753,AVK Printer,71
19272,AVK Printer,71
20361,AVK Printer,71
21282,AVK Printer,71
20048,AVK Printer,71
21287,AVK Printer,71
18169,AVK Printer,71
18158,AVK Printer,71
18161,AVK Printer,71
18156,AVK Printer,71
17923,AVK Printer,71
18163,AVK Printer,71
18596,AVK Printer,71
18115,AVK Printer,71
18124,AVK Printer,71
18130,AVK Printer,71
18120,AVK Printer,71
18127,AVK Printer,71
18131,AVK Printer,71
18133,AVK Printer,71
17918,AVK Printer,71
18125,AVK Printer,71
18121,AVK Printer,71
